('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         577407 function calls (554068 primitive calls) in 2.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      256    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1261    0.001    0.000    0.004    0.000 parser.py:352(check_for_whole_start_tag)
       22    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
      135    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
     4458    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       37    0.001    0.000    0.024    0.001 element.py:779(_find_all)
     6065    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1086    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      204    0.001    0.000    0.111    0.001 sre_compile.py:759(compile)
     2787    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1062    0.001    0.000    0.002    0.000 typing.py:709(__setattr__)
    187/3    0.001    0.000    0.620    0.207 <frozen importlib._bootstrap>:663(_load_unlocked)
      204    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
     1261    0.001    0.000    0.009    0.000 __init__.py:735(handle_endtag)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
        1    0.001    0.001    0.001    0.001 models.py:906(text)
      187    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      900    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
     3727    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     5637    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    212/3    0.001    0.000    0.622    0.207 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     7779    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1261    0.001    0.000    0.010    0.000 _htmlparser.py:177(handle_endtag)
      820    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
       26    0.001    0.000    0.005    0.000 response.py:87(decompress)
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     1377    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     6335    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
      204    0.001    0.000    0.070    0.000 sre_parse.py:913(parse)
      425    0.001    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
      156    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1261    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1017    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      180    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      156    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1792    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      900    0.001    0.000    0.001    0.000 {built-in method fromkeys}
    156/3    0.001    0.000    0.620    0.207 <frozen importlib._bootstrap_external>:722(exec_module)
      204    0.001    0.000    0.001    0.000 enum.py:841(__and__)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
    51/11    0.001    0.000    0.312    0.028 {method 'join' of 'bytes' objects}
      614    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      271    0.000    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
     3974    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     4986    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
      421    0.000    0.000    0.001    0.000 {built-in method builtins.any}
  634/615    0.000    0.000    0.005    0.000 typing.py:248(inner)
      926    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      621    0.000    0.000    0.004    0.000 enum.py:289(__call__)
       77    0.000    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
     1262    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      208    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
     1062    0.000    0.000    0.001    0.000 typing.py:595(_is_dunder)
     1967    0.000    0.000    0.000    0.000 element.py:1906(descendants)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     2183    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      901    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      415    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      204    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      425    0.000    0.000    0.002    0.000 element.py:934(__new__)
     2439    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      187    0.000    0.000    0.100    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
  647/616    0.000    0.000    0.001    0.000 typing.py:669(__hash__)
      156    0.000    0.000    1.348    0.009 socket.py:575(readinto)
      190    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
     1856    0.000    0.000    0.000    0.000 __init__.py:122(unescape)
1321/1250    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      265    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
      611    0.000    0.000    0.001    0.000 enum.py:531(__new__)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      204    0.000    0.000    0.039    0.000 sre_compile.py:598(_code)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
  517/267    0.000    0.000    0.330    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      256    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.010    0.010 packages.py:1(<module>)
  227/190    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      204    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1193    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
