('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         577407 function calls (554068 primitive calls) in 2.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.012    0.012 request.py:68(<module>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
      190    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       14    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 client.py:207(parse_headers)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
    24/20    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       10    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
       38    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
       43    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.039    0.039 connectionpool.py:1(<module>)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
      219    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.202    0.202 dammit.py:8(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
       53    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
       22    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
        1    0.000    0.000    1.492    1.492 sessions.py:671(send)
        1    0.000    0.000    0.003    0.003 models.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 models.py:23(CharsetMatch)
        1    0.000    0.000    0.181    0.181 __init__.py:39(<module>)
        9    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.038    0.038 hashlib.py:54(<module>)
       11    0.000    0.000    0.000    0.000 parse.py:412(urlsplit)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
        2    0.000    0.000    0.001    0.001 response.py:1(<module>)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       50    0.000    0.000    0.000    0.000 enum.py:912(_power_of_two)
        1    0.000    0.000    0.026    0.026 md.py:1(<module>)
        1    0.000    0.000    0.006    0.006 adapters.py:7(<module>)
       34    0.000    0.000    0.001    0.000 element.py:1551(__getattr__)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      100    0.000    0.000    0.000    0.000 typing.py:351(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1484(__init__)
       11    0.000    0.000    0.000    0.000 queue.py:121(put)
        1    0.000    0.000    0.020    0.020 cookiejar.py:26(<module>)
        1    0.000    0.000    0.002    0.002 cookies.py:127(<module>)
       36    0.000    0.000    0.000    0.000 functools.py:458(lru_cache)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       74    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
        1    0.000    0.000    0.058    0.058 models.py:1(<module>)
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
       25    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
        1    0.000    0.000    1.179    1.179 connectionpool.py:522(urlopen)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       34    0.000    0.000    0.001    0.000 element.py:1846(find)
       23    0.000    0.000    0.000    0.000 threading.py:335(notify)
        1    0.000    0.000    0.025    0.025 compat.py:8(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
        1    0.000    0.000    0.081    0.081 __init__.py:27(<module>)
        1    0.000    0.000    1.042    1.042 client.py:270(_read_status)
       39    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    1.180    1.180 adapters.py:436(send)
       38    0.000    0.000    0.001    0.000 typing.py:1202(_alias)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       18    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       37    0.000    0.000    0.025    0.001 element.py:1871(find_all)
        9    0.000    0.000    0.000    0.000 typing.py:535(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
       15    0.000    0.000    0.032    0.002 css_parser.py:308(__init__)
        1    0.000    0.000    0.033    0.033 css_parser.py:431(CSSParser)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.004    0.004 decoder.py:2(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1294(__init__)
       25    0.000    0.000    0.312    0.012 response.py:606(stream)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
        1    0.000    0.000    0.057    0.057 client.py:69(<module>)
        4    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
       18    0.000    0.000    0.000    0.000 _collections.py:215(add)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1877(__init__)
       38    0.000    0.000    0.000    0.000 element.py:274(get_text)
       93    0.000    0.000    0.000    0.000 typing.py:634(<genexpr>)
        1    0.000    0.000    0.043    0.043 _lxml.py:2(<module>)
        1    0.000    0.000    0.062    0.062 ssl.py:813(_create)
       12    0.000    0.000    0.000    0.000 queue.py:153(get)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       93    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
        1    0.000    0.000    0.004    0.004 ssl_.py:250(create_urllib3_context)
        1    0.000    0.000    0.020    0.020 ssl_.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:79(_default_key_normalizer)
       20    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.068    0.068 __init__.py:120(__init__)
       37    0.000    0.000    0.000    0.000 element.py:2278(__init__)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    1.178    1.178 connectionpool.py:361(_make_request)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1142(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 response.py:632(from_httplib)
        1    0.000    0.000    0.006    0.006 sessions.py:7(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd85f180680}
      149    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
       14    0.000    0.000    0.004    0.000 hashlib.py:116(__get_openssl_constructor)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1605(_make_netmask)
        1    0.000    0.000    0.003    0.003 resources.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.065    0.065 exceptions.py:1(<module>)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
      149    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       11    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.018    0.018 _htmlparser.py:2(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
      116    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {built-in method today}
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fd85f1ad290}
       14    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        1    0.000    0.000    0.162    0.162 __init__.py:21(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    1.042    1.042 client.py:303(begin)
        5    0.000    0.000    0.000    0.000 client.py:1233(putheader)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1116(_make_netmask)
        2    0.000    0.000    0.000    0.000 request.py:2573(ip2num)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.007    0.007 header.py:5(<module>)
      101    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
        4    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
       21    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       21    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
        1    0.000    0.000    0.058    0.058 connection.py:37(create_connection)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
        1    0.000    0.000    0.065    0.065 request.py:2557(_proxy_bypass_macosx_sysconf)
       25    0.000    0.000    0.312    0.012 models.py:812(generate)
       61    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       98    0.000    0.000    0.000    0.000 enum.py:664(<lambda>)
        1    0.000    0.000    0.019    0.019 utils.py:5(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        1    0.000    0.000    0.000    0.000 models.py:659(__init__)
      174    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'version' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:111(TreeBuilder)
        1    0.000    0.000    0.002    0.002 charset.py:6(<module>)
        1    0.000    0.000    0.300    0.300 element.py:2(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
        5    0.000    0.000    0.000    0.000 __init__.py:802(__init__)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        4    0.000    0.000    0.001    0.000 ssl_match_hostname.py:25(_dnsname_match)
      161    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       25    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.002    0.002 __meta__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 util.py:1(<module>)
        1    0.000    0.000    0.017    0.017 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:1279(_send_request)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 response.py:200(__init__)
        1    0.000    0.000    0.026    0.026 exceptions.py:6(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        7    0.000    0.000    0.000    0.000 structures.py:40(__init__)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        2    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        7    0.000    0.000    0.061    0.009 <frozen importlib._bootstrap>:433(spec_from_loader)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       14    0.000    0.000    0.014    0.001 css_parser.py:1156(process_selectors)
        4    0.000    0.000    0.000    0.000 typing.py:824(__class_getitem__)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        1    0.000    0.000    0.004    0.004 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:956(wrapper)
        9    0.000    0.000    0.000    0.000 url.py:306(<listcomp>)
       11    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.427    0.427 __init__.py:15(<module>)
       16    0.000    0.000    0.000    0.000 typing.py:445(__init__)
       43    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
        1    0.000    0.000    0.005    0.005 tempfile.py:24(<module>)
        7    0.000    0.000    0.000    0.000 utils.py:335(to_key_val_list)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
        8    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
       38    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
        1    0.000    0.000    0.002    0.002 pretty.py:67(<module>)
       99    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
        1    0.000    0.000    0.003    0.003 gzip.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        2    0.000    0.000    0.002    0.001 _collections.py:92(clear)
        1    0.000    0.000    0.000    0.000 intranges.py:6(<module>)
       12    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        5    0.000    0.000    0.002    0.000 six.py:95(__get__)
        1    0.000    0.000    0.000    0.000 client.py:1023(_send_output)
        1    0.000    0.000    0.000    0.000 connectionpool.py:998(_new_conn)
        3    0.000    0.000    0.000    0.000 url.py:91(__new__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1729(_parse_hextet)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1593(make_cookies)
        1    0.000    0.000    0.069    0.069 sessions.py:749(merge_environment_settings)
        1    0.000    0.000    0.000    0.000 adapters.py:296(build_response)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
    46/14    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       12    0.000    0.000    0.001    0.000 enum.py:798(_missing_)
       42    0.000    0.000    0.000    0.000 enum.py:860(_high_bit)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        1    0.000    0.000    0.000    0.000 element.py:150(PageElement)
       25    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        8    0.000    0.000    0.000    0.000 parse.py:154(hostname)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        3    0.000    0.000    0.000    0.000 retry.py:243(__init__)
        9    0.000    0.000    0.000    0.000 url.py:305(_idna_encode)
        1    0.000    0.000    0.000    0.000 poolmanager.py:225(connection_from_host)
        2    0.000    0.000    0.000    0.000 utils.py:831(select_proxy)
        4    0.000    0.000    0.000    0.000 idna.py:147(encode)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
       35    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       14    0.000    0.000    0.000    0.000 enum.py:340(__getattr__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:1172(Tag)
        1    0.000    0.000    0.204    0.204 formatter.py:1(<module>)
       24    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
        1    0.000    0.000    0.000    0.000 models.py:357(CliDetectionResult)
        1    0.000    0.000    0.003    0.003 scanner.py:2(<module>)
       19    0.000    0.000    0.061    0.003 six.py:190(find_spec)
        1    0.000    0.000    0.000    0.000 _html5lib.py:2(<module>)
        1    0.000    0.000    0.000    0.000 client.py:841(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
        1    0.000    0.000    0.037    0.037 feedparser.py:20(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:221(makefile)
        1    0.000    0.000    0.002    0.002 message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:801(SSLSocket)
        3    0.000    0.000    0.000    0.000 url.py:244(_remove_path_dot_segments)
        1    0.000    0.000    0.002    0.002 filepost.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        6    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        1    0.000    0.000    0.002    0.002 sessions.py:457(prepare_request)
        1    0.000    0.000    1.564    1.564 sessions.py:500(request)
        1    0.000    0.000    0.000    0.000 auth.py:6(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:51(register)
        1    0.000    0.000    0.027    0.027 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 css_parser.py:676(parse_pseudo_nth)
       20    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        2    0.000    0.000    0.000    0.000 client.py:417(close)
        1    0.000    0.000    0.000    0.000 client.py:1077(putrequest)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        8    0.000    0.000    0.000    0.000 parse.py:190(_hostinfo)
        1    0.000    0.000    0.001    0.001 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 ssl.py:390(SSLContext)
        1    0.000    0.000    0.000    0.000 _collections.py:231(extend)
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
       11    0.000    0.000    0.000    0.000 queue.py:18(_put)
        1    0.000    0.000    0.000    0.000 poolmanager.py:263(connection_from_pool_key)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1255(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 cookies.py:8(<module>)
        3    0.000    0.000    0.313    0.104 models.py:887(content)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        1    0.000    0.000    0.000    0.000 status_codes.py:19(<module>)
       18    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
       27    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        6    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        2    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        9    0.000    0.000    0.000    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.000    0.000 md.py:59(TooManySymbolOrPunctuationPlugin)
        6    0.000    0.000    0.000    0.000 six.py:128(__init__)
        1    0.000    0.000    0.001    0.001 _markupbase.py:6(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
       18    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        1    0.000    0.000    0.000    0.000 ssl.py:460(set_alpn_protocols)
        1    0.000    0.000    0.135    0.135 connectionpool.py:1034(_validate_conn)
        5    0.000    0.000    0.000    0.000 connection.py:221(putheader)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ssl_match_hostname.py:98(match_hostname)
        1    0.000    0.000    0.001    0.001 ipaddress.py:9(<module>)
        1    0.000    0.000    0.000    0.000 response.py:162(HTTPResponse)
        4    0.000    0.000    0.000    0.000 cookiejar.py:876(__init__)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:620(PurePath)
        2    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
       18    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        1    0.000    0.000    0.000    0.000 models.py:410(prepare_url)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
       77    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       45    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       32    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        8    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
       44    0.000    0.000    0.000    0.000 enum.py:203(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:457(reset)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        6    0.000    0.000    0.000    0.000 typing.py:685(__mro_entries__)
       20    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        5    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 models.py:286(CharsetMatches)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.038    0.038 parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.004    0.004 ssl.py:398(__new__)
        1    0.000    0.000    0.000    0.000 connection.py:231(request)
        1    0.000    0.000    0.073    0.073 ssl_.py:355(ssl_wrap_socket)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1090(_BaseV4)
        1    0.000    0.000    0.069    0.069 utils.py:759(should_bypass_proxies)
        1    0.000    0.000    0.000    0.000 sessions.py:389(__init__)
        1    0.000    0.000    0.000    0.000 socks.py:40(<module>)
       42    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       65    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        6    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        4    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        3    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        5    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        9    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       13    0.000    0.000    0.000    0.000 enum.py:365(__members__)
       34    0.000    0.000    0.000    0.000 enum.py:906(<lambda>)
       26    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.016    0.016 css_parser.py:328(__init__)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        9    0.000    0.000    0.000    0.000 threading.py:75(RLock)
        8    0.000    0.000    0.003    0.000 hashlib.py:73(__get_builtin_constructor)
        4    0.000    0.000    0.063    0.016 six.py:117(_resolve)
       18    0.000    0.000    0.000    0.000 six.py:1014(ensure_text)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
        1    0.000    0.000    0.001    0.001 socket.py:735(getaddrinfo)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:119(_has_ipv6)
        1    0.000    0.000    0.000    0.000 wait.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:141(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:27(ip_address)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2214(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 fields.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 response.py:419(_flush_decoder)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1674(extract_cookies)
        1    0.000    0.000    0.068    0.068 request.py:2620(proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.000    0.000 zipfile.py:1182(ZipFile)
        1    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    1.566    1.566 api.py:62(get)
       26    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       28    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       31    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1498(SoupSieve)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
